Rank,Name,Pos,Best,Worst,Avg,Std Dev
128,David Njoku CLE,TE13,69.0,206.0,136.3,23.0
129,Bilal Powell NYJ,RB46,78.0,214.0,135.6,35.0
130,Tyler Eifert CIN,TE14,101.0,195.0,136.9,25.7
131,Kenny Golladay DET,WR52,82.0,262.0,135.7,31.8
132,D.J. Moore CAR,WR53,47.0,227.0,137.8,30.3
133,Giovani Bernard CIN,RB47,100.0,206.0,136.8,23.0
134,Theo Riddick DET,RB48,87.0,253.0,141.9,28.0
135,Cameron Meredith NO,WR54,73.0,220.0,141.1,25.5
136,Corey Clement PHI,RB49,68.0,224.0,139.9,27.9
137,Dez Bryant FA,WR55,49.0,211.0,120.9,33.5
138,O.J. Howard TB,TE15,85.0,240.0,144.0,28.6
139,Jacksonville Jaguars JAC,DST1,97.0,216.0,142.2,22.5
140,Tyler Lockett SEA,WR56,91.0,253.0,147.4,37.6
141,James White NE,RB50,75.0,218.0,149.7,26.2
142,Cameron Brate TB,TE16,104.0,215.0,150.8,26.0
143,Derek Carr OAK,QB20,103.0,200.0,148.0,21.3
144,Latavius Murray MIN,RB51,76.0,229.0,151.9,28.6
145,LeGarrette Blount DET,RB52,53.0,235.0,150.7,34.4
146,Calvin Ridley ATL,WR57,66.0,246.0,149.6,31.5
147,Mitch Trubisky CHI,QB21,81.0,215.0,150.4,28.4
148,Minnesota Vikings MIN,DST2,128.0,223.0,149.5,18.6
149,Blake Bortles JAC,QB22,85.0,227.0,150.0,27.4
150,Eric Ebron IND,TE17,87.0,219.0,155.2,27.4
151,Mohamed Sanu ATL,WR58,73.0,232.0,153.5,30.9
152,Ted Ginn NO,WR59,106.0,253.0,156.0,28.3
153,Philadelphia Eagles PHI,DST3,134.0,231.0,154.6,17.6
154,Charles Clay BUF,TE18,105.0,232.0,159.6,28.4
155,Martavis Bryant OAK,WR60,90.0,227.0,154.8,33.0
156,Chris Carson SEA,RB53,75.0,218.0,154.7,32.2
157,Doug Martin OAK,RB54,93.0,211.0,156.1,32.0
158,Mike Williams LAC,WR61,77.0,252.0,155.9,39.0
159,Jameis Winston TB,QB23,89.0,231.0,160.3,34.0
160,Eli Manning NYG,QB24,96.0,222.0,159.1,27.7
161,Paul Richardson WAS,WR62,103.0,242.0,156.7,32.1
162,Michael Gallup DAL,WR63,91.0,208.0,149.5,24.7
163,Peyton Barber TB,RB55,111.0,236.0,159.6,34.2
164,Los Angeles Rams LAR,DST4,126.0,220.0,160.6,20.6
165,Los Angeles Chargers LAC,DST5,131.0,234.0,163.7,18.8
166,Matt Breida SF,RB56,93.0,241.0,165.5,33.1
167,Dede Westbrook JAC,WR64,90.0,244.0,164.6,33.9
168,Tyrell Williams LAC,WR65,86.0,250.0,165.6,41.4
169,Jared Cook OAK,TE19,86.0,247.0,168.4,30.2
170,Austin Seferian-Jenkins JAC,TE20,89.0,251.0,168.4,33.7
171,Case Keenum DEN,QB25,95.0,248.0,167.4,29.4
172,Houston Texans HOU,DST6,141.0,236.0,166.4,20.1
173,Andy Dalton CIN,QB26,101.0,239.0,169.6,28.8
174,Frank Gore MIA,RB57,87.0,225.0,166.4,26.5
175,Denver Broncos DEN,DST7,133.0,222.0,166.6,20.2
176,Anthony Miller CHI,WR66,102.0,265.0,163.7,39.9
177,Nyheim Hines IND,RB58,53.0,238.0,163.5,36.3
178,Baltimore Ravens BAL,DST8,146.0,261.0,173.6,23.4
179,Kenneth Dixon BAL,RB59,111.0,230.0,170.8,27.8
180,Stephen Gostkowski NE,K1,149.0,279.0,175.0,22.6
181,Mike Wallace PHI,WR67,113.0,230.0,175.6,30.5
182,Donte Moncrief JAC,WR68,86.0,239.0,174.7,33.2
183,Chris Godwin TB,WR69,93.0,225.0,176.3,28.5
184,Ricky Seals-Jones ARI,TE21,83.0,244.0,180.0,31.2
185,Jordan Matthews NE,WR70,121.0,252.0,173.7,33.6
186,Justin Tucker BAL,K2,154.0,254.0,180.1,21.5
187,Tyrod Taylor CLE,QB27,78.0,240.0,183.4,33.8
188,Austin Ekeler LAC,RB60,95.0,261.0,178.0,41.1
189,Vance McDonald PIT,TE22,107.0,244.0,182.1,28.1
190,Chris Ivory BUF,RB61,56.0,245.0,168.5,41.3
191,Quincy Enunwa NYJ,WR71,117.0,249.0,180.5,35.3
192,Greg Zuerlein LAR,K3,150.0,253.0,180.4,17.8
193,Christian Kirk ARI,WR72,62.0,255.0,183.6,40.8
194,Austin Hooper ATL,TE23,123.0,242.0,184.0,25.5
195,Samaje Perine WAS,RB62,105.0,292.0,180.7,43.6
196,Seattle Seahawks SEA,DST9,135.0,249.0,185.6,30.0
197,Ryan Tannehill MIA,QB28,98.0,252.0,189.6,32.6
198,Benjamin Watson NO,TE24,113.0,235.0,181.4,26.8
199,New Orleans Saints NO,DST10,159.0,237.0,185.7,18.4
200,New England Patriots NE,DST11,131.0,243.0,184.8,16.9
201,Corey Coleman CLE,WR73,119.0,274.0,190.5,39.0
202,Jordan Wilkins IND,RB63,105.0,227.0,177.7,37.6
203,Matt Bryant ATL,K4,151.0,258.0,187.4,20.2
204,John Brown BAL,WR74,102.0,248.0,191.8,32.8
205,Mike Gesicki MIA,TE25,82.0,240.0,188.7,33.5
206,Keelan Cole JAC,WR75,106.0,256.0,189.2,37.2
207,Spencer Ware KC,RB64,101.0,240.0,187.6,34.3
208,Jermaine Kearse NYJ,WR76,96.0,259.0,194.9,36.3
209,Carolina Panthers CAR,DST12,162.0,241.0,188.5,15.4
210,Pittsburgh Steelers PIT,DST13,135.0,259.0,190.2,20.5
211,Terrance Williams DAL,WR77,112.0,261.0,187.6,43.6
212,Geronimo Allison GB,WR78,91.0,260.0,187.6,38.9
213,Danny Amendola MIA,WR79,130.0,257.0,196.5,33.3
214,Darren Sproles PHI,RB65,110.0,250.0,186.3,33.0
215,Wil Lutz NO,K5,165.0,256.0,194.9,19.4
216,Cole Beasley DAL,WR80,111.0,267.0,199.9,45.6
217,Kansas City Chiefs KC,DST14,147.0,256.0,197.8,24.6
218,Jonathan Stewart NYG,RB66,129.0,251.0,194.2,30.5
219,Albert Wilson MIA,WR81,120.0,266.0,201.2,35.0
220,Javorius Allen BAL,RB67,92.0,266.0,201.6,39.8
221,T.J. Yeldon JAC,RB68,129.0,230.0,190.8,25.9
222,Wayne Gallman NYG,RB69,100.0,279.0,196.5,47.7
223,Ameer Abdullah DET,RB70,110.0,262.0,186.8,35.3
224,James Washington PIT,WR82,112.0,264.0,198.2,38.0
225,Chicago Bears CHI,DST15,163.0,240.0,199.3,19.5
226,Ryan Grant IND,WR83,119.0,265.0,196.8,39.4
227,Jake Elliott PHI,K6,171.0,293.0,202.5,23.8
228,Terrelle Pryor NYJ,WR84,144.0,261.0,204.1,28.9
229,Courtland Sutton DEN,WR85,114.0,255.0,209.4,38.1
230,Matt Prater DET,K7,160.0,255.0,200.8,19.0
231,Elijah McGuire NYJ,RB71,136.0,254.0,199.0,34.0
232,Hayden Hurst BAL,TE26,124.0,264.0,198.8,31.3
233,Dan Bailey DAL,K8,168.0,258.0,202.1,20.9
234,Kalen Ballage MIA,RB72,141.0,266.0,203.3,36.5
235,Zay Jones BUF,WR86,147.0,260.0,211.4,33.6
236,Atlanta Falcons ATL,DST16,164.0,249.0,206.1,19.2
237,Brandon LaFell CIN,WR87,131.0,256.0,198.3,43.9
238,Brandon Marshall SEA,WR88,120.0,250.0,198.6,32.6
239,Joe Flacco BAL,QB29,152.0,260.0,211.6,25.8
240,John Ross CIN,WR89,144.0,251.0,201.3,31.5
241,Chris Boswell PIT,K9,170.0,263.0,206.3,18.8
242,J.J. Nelson ARI,WR90,161.0,271.0,214.1,35.1
243,Taywan Taylor TEN,WR91,159.0,262.0,206.3,29.8
244,Harrison Butker KC,K10,180.0,294.0,209.2,21.8
245,Travis Benjamin LAC,WR92,126.0,257.0,203.2,36.2
246,Arizona Cardinals ARI,DST17,157.0,256.0,206.5,19.5
247,Willie Snead BAL,WR93,146.0,263.0,220.3,34.0
248,Jeremy Hill NE,RB73,155.0,255.0,196.2,32.2
249,Mason Crosby GB,K11,156.0,261.0,208.4,18.7
250,Dante Pettis SF,WR94,152.0,268.0,214.6,30.9
251,Chester Rogers IND,WR95,141.0,256.0,210.1,33.4
252,Mike Davis SEA,RB74,167.0,257.0,199.1,31.0
253,Jake Butt DEN,TE27,143.0,255.0,216.1,33.9
254,Corey Grant JAC,RB75,169.0,273.0,219.4,30.6
255,Sam Bradford ARI,QB30,161.0,295.0,220.1,28.7
256,Malcolm Mitchell NE,WR96,151.0,257.0,210.3,33.6
257,Lamar Jackson BAL,QB31,134.0,258.0,213.4,31.7
258,Vernon Davis WAS,TE28,170.0,258.0,214.0,23.6
259,John Kelly LAR,RB76,149.0,267.0,218.3,34.4
260,New York Giants NYG,DST18,167.0,264.0,213.7,23.1
261,Green Bay Packers GB,DST19,150.0,256.0,220.3,23.8
262,Trent Taylor SF,WR97,171.0,257.0,213.3,26.2
263,Taylor Gabriel CHI,WR98,160.0,267.0,226.2,29.8
264,Luke Willson DET,TE29,145.0,249.0,215.0,28.8
265,Robbie Gould SF,K12,179.0,265.0,213.9,22.2
266,Curtis Samuel CAR,WR99,162.0,254.0,221.8,34.2
267,Antonio Gates FA,TE30,171.0,243.0,203.3,28.1
268,Rod Smith DAL,RB77,170.0,257.0,211.2,28.4
269,C.J. Prosise SEA,RB78,161.0,260.0,220.3,28.5
270,Ed Dickson SEA,TE31,182.0,261.0,208.8,21.6
271,D.J. Chark JAC,WR100,164.0,263.0,211.0,44.8
272,Mark Andrews BAL,TE32,134.0,272.0,215.2,46.3
273,Brice Butler ARI,WR101,160.0,262.0,224.7,31.3
274,Chase Edmonds ARI,RB79,174.0,255.0,220.2,26.7
275,Baker Mayfield CLE,QB32,143.0,270.0,230.6,32.0
276,Tavon Austin DAL,WR102,167.0,274.0,220.3,31.6
277,Justin Jackson LAC,RB80,166.0,287.0,225.3,33.2
278,Charles Sims TB,RB81,148.0,256.0,233.7,31.1
279,Dallas Goedert PHI,TE33,156.0,272.0,213.7,34.6
280,Josh Rosen ARI,QB33,161.0,248.0,216.2,24.8
281,Josh McCown NYJ,QB34,175.0,296.0,225.0,27.4
282,Equanimeous St. Brown GB,WR103,155.0,249.0,212.8,36.2
283,Tyler Kroft CIN,TE34,155.0,268.0,229.4,35.1
284,Thomas Rawls NYJ,RB82,165.0,257.0,212.5,31.6
285,Adam Shaheen CHI,TE35,177.0,258.0,217.2,23.9
286,Jeremy Maclin FA,WR104,164.0,234.0,204.7,20.2
287,Jacquizz Rodgers TB,RB83,178.0,269.0,222.5,33.9
288,Buffalo Bills BUF,DST20,158.0,262.0,227.4,30.4
289,Terrance West NO,RB84,166.0,275.0,219.2,27.5
290,Jakeem Grant MIA,WR105,159.0,258.0,229.5,40.8
291,Tre'Quan Smith NO,WR106,172.0,251.0,212.1,23.7
292,Detroit Lions DET,DST21,166.0,265.0,224.1,32.5
293,Chad Williams ARI,WR107,164.0,261.0,226.2,33.9
294,Graham Gano CAR,K13,172.0,260.0,217.4,16.8
295,Orleans Darkwa FA,RB85,179.0,259.0,221.7,30.1
296,Stephen Anderson HOU,TE36,166.0,243.0,214.5,31.3
297,Brandon McManus DEN,K14,169.0,268.0,227.4,23.8
298,Sam Darnold NYJ,QB35,169.0,266.0,230.3,29.2
299,Antonio Callaway CLE,WR108,170.0,246.0,208.7,31.0
300,Gerald Everett LAR,TE37,185.0,262.0,221.4,21.0
301,Kevin White CHI,WR109,175.0,249.0,220.1,22.1
302,De'Angelo Henderson DEN,RB86,175.0,266.0,240.1,29.0
303,Adam Vinatieri IND,K15,184.0,271.0,217.1,18.2
304,Jaron Brown SEA,WR110,181.0,270.0,227.2,26.7
305,Virgil Green LAC,TE38,190.0,257.0,227.5,20.5
306,Bo Scarbrough DAL,RB87,180.0,290.0,238.3,45.2
307,Amara Darboh SEA,WR111,183.0,268.0,220.6,27.7
308,Robert Kelley WAS,RB88,186.0,233.0,209.5,23.5
309,Joe Williams SF,RB89,186.0,266.0,225.9,23.5
310,Dallas Cowboys DAL,DST22,190.0,267.0,227.0,26.8
311,Cameron Artis-Payne CAR,RB90,186.0,272.0,229.0,43.0
312,Josh Lambo JAC,K16,195.0,297.0,220.9,32.8
313,Jonnu Smith TEN,TE39,188.0,275.0,232.7,35.6
314,Mike Gillislee NE,RB91,193.0,245.0,217.9,16.0
315,Tennessee Titans TEN,DST23,191.0,248.0,217.7,16.6
316,DeAndre Washington OAK,RB92,193.0,276.0,231.8,21.6
317,Kai Forbath MIN,K17,193.0,277.0,220.1,18.5
318,Adrian Peterson FA,RB93,193.0,256.0,227.0,25.7
319,Jesse James PIT,TE40,192.0,269.0,236.5,26.1
320,Washington Redskins WAS,DST24,193.0,272.0,233.4,29.6
321,Mark Walton CIN,RB94,194.0,214.0,204.0,10.0
322,Ryan Succop TEN,K18,197.0,273.0,219.2,19.5
323,Cincinnati Bengals CIN,DST25,197.0,274.0,227.3,19.2
324,Cairo Santos NYJ,K19,194.0,275.0,230.0,26.9
325,J'Mon Moore GB,WR112,196.0,258.0,221.0,24.3
326,Ryan Griffin HOU,TE41,196.0,234.0,222.3,11.6
327,Mack Hollins PHI,WR113,197.0,243.0,220.0,23.0
328,Josh Hill NO,TE42,197.0,260.0,232.7,21.1
329,Keke Coutee HOU,WR114,199.0,278.0,225.1,24.8
330,Daniel Carlson MIN,K20,200.0,298.0,227.2,33.2
331,Robert Turbin IND,RB95,200.0,284.0,250.4,27.9
332,C.J. Fiedorowicz FA,TE43,201.0,208.0,203.3,3.3
333,Ito Smith ATL,RB96,217.0,218.0,217.5,0.5
334,Jaylen Samuels PIT,TE44,219.0,224.0,221.5,2.5
335,Carlos Henderson DEN,WR115,211.0,252.0,225.0,19.1
336,Wendell Smallwood PHI,RB97,205.0,246.0,225.5,20.5
337,Caleb Sturgis LAC,K21,205.0,278.0,227.4,23.1
338,Blair Walsh FA,K22,213.0,244.0,229.0,12.5
339,Tion Green FA,RB98,226.0,237.0,231.5,5.5
340,Josh Allen BUF,QB36,201.0,270.0,232.3,24.7
341,Paul Perkins FA,RB99,230.0,235.0,232.5,2.5
342,Ka'imi Fairbairn HOU,K23,202.0,299.0,236.3,31.1
343,DaeSean Hamilton DEN,WR116,237.0,237.0,237.0,0.0
344,Tampa Bay Buccaneers TB,DST26,207.0,282.0,237.4,24.9
345,Tyler Higbee LAR,TE45,209.0,267.0,238.0,29.0
346,San Francisco 49ers SF,DST27,203.0,280.0,239.0,35.7
347,AJ McCarron BUF,QB37,216.0,281.0,239.6,20.1
348,James Conner PIT,RB100,224.0,260.0,239.8,14.0
349,Torrey Smith CAR,WR117,206.0,263.0,240.0,15.4
350,Teddy Bridgewater NYJ,QB38,212.0,276.0,240.7,26.5
351,Jalen Richard OAK,RB101,214.0,277.0,241.6,21.7
352,Eric Decker FA,WR118,215.0,265.0,242.2,16.9
353,Kendall Wright MIN,WR119,218.0,265.0,242.8,18.8
354,Coby Fleener FA,TE46,231.0,264.0,244.8,12.0
355,Clive Walford NYJ,TE47,226.0,265.0,245.5,19.5
356,Oakland Raiders OAK,DST28,216.0,285.0,247.2,27.3
357,Kenny Britt NE,WR120,205.0,269.0,247.5,23.1
358,Nick Vannett SEA,TE48,215.0,277.0,247.8,20.5
359,Cleveland Browns CLE,DST29,207.0,289.0,248.0,41.0
360,Adam Humphries TB,WR121,231.0,264.0,248.0,13.5
361,Blake Jarwin DAL,TE49,238.0,261.0,249.5,11.5
362,Travaris Cadet BUF,RB102,229.0,276.0,252.5,23.5
363,Nick Foles PHI,QB39,228.0,279.0,253.5,25.5
364,Rico Gathers DAL,TE50,227.0,281.0,254.0,27.0
365,Alfred Blue HOU,RB103,213.0,278.0,254.7,29.5
366,Eddie Lacy FA,RB104,235.0,286.0,257.7,21.2
367,Jamaal Charles FA,RB105,255.0,261.0,258.0,3.0
368,Steven Hauschka BUF,K24,217.0,300.0,258.5,41.5
369,Chris Conley KC,WR122,249.0,269.0,259.0,10.0
370,Kyle Juszczyk SF,RB106,251.0,269.0,260.3,7.4
371,Benny Cunningham CHI,RB107,236.0,285.0,260.5,24.5
372,Miami Dolphins MIA,DST30,229.0,287.0,260.7,24.0
373,ArDarius Stewart NYJ,WR123,240.0,284.0,262.0,22.0
374,Ryan Fitzpatrick TB,QB40,226.0,288.0,265.3,27.9
375,New York Jets NYJ,DST31,262.0,283.0,272.5,10.5
376,Damien Williams KC,RB108,270.0,288.0,279.0,9.0
