Rank,Name,Team,Age,G,GS,RushAtt,RushYds,Y/A,RushTD,FantPt,Year
124,Derek Watt,LAC,25.0,16,4.0,6,24,4.0,0,6.0,2017
128,Tyler Ervin,HOU,24.0,4,0.0,4,12,3.0,0,5.0,2017
126,Akeem Hunt,KAN,24.0,15,0.0,8,23,2.88,0,5.0,2017
127,Aaron Ripkowski,GNB,25.0,16,2.0,5,13,2.6,0,5.0,2017
131,Mack Brown,2TM,26.0,4,0.0,8,29,3.63,0,4.0,2017
130,Matthew Dayes,CLE,23.0,16,0.0,5,13,2.6,0,4.0,2017
129,Lawrence Thomas,NYJ,24.0,14,4.0,2,1,0.5,0,4.0,2017
135,Derrick Coleman,ATL,27.0,16,7.0,2,8,4.0,0,3.0,2017
137,Patrick DiMarco,BUF,28.0,16,9.0,2,-2,-1.0,0,3.0,2017
133,Senorise Perry,MIA,26.0,16,0.0,8,30,3.75,0,3.0,2017
134,Jay Prosch,HOU,25.0,16,5.0,0,0,,0,3.0,2017
136,De'Veon Smith,MIA,23.0,5,0.0,0,0,,0,3.0,2017
138,Keith Smith,DAL,25.0,16,3.0,0,0,,0,3.0,2017
132,Fitzgerald Toussaint,PIT,27.0,6,0.0,6,25,4.17,0,3.0,2017
139,Andre Williams,LAC,25.0,8,0.0,9,25,2.78,0,3.0,2017
145,Michael Burton,CHI,25.0,16,3.0,4,9,2.25,0,2.0,2017
142,Josh Ferguson,IND,24.0,10,0.0,1,5,5.0,0,2.0,2017
141,David Fluellen,TEN,25.0,16,0.0,4,21,5.25,0,2.0,2017
140,Ryan Hewitt,CIN,26.0,13,4.0,0,0,,0,2.0,2017
143,Bobby Rainey,BAL,30.0,4,0.0,1,2,2.0,0,2.0,2017
144,Dan Vitale,CLE,24.0,15,6.0,0,0,,0,2.0,2017
147,LeShun Daniels,WAS,22.0,4,0.0,3,14,4.67,0,1.0,2017
146,Matt Jones,IND,24.0,5,0.0,5,14,2.8,0,1.0,2017
148,Taiwan Jones,BUF,29.0,8,0.0,0,0,,0,1.0,2017
149,Raheem Mostert,SFO,25.0,11,0.0,6,30,5.0,0,1.0,2017
150,Terrell Watson,PIT,24.0,10,0.0,5,8,1.6,0,1.0,2017
153,Justin Davis,LAR,22.0,4,0.0,1,1,1.0,0,,2017
159,Bronson Hill,ARI,24.0,2,0.0,1,-2,-2.0,0,,2017
151,Joe Kerridge,GNB,25.0,4,0.0,0,0,,0,,2017
152,John Kuhn,NOR,35.0,2,1.0,1,2,2.0,0,,2017
160,Darren McFadden,DAL,30.0,1,0.0,1,-2,-2.0,0,,2017
154,C.J. Spiller,KAN,30.0,1,0.0,2,0,0.0,0,,2017
161,Devante Mays,GNB,23.0,8,0.0,4,1,0.25,0,-2.0,2017
