Rank,Name,Team,Pos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPt,PosRank
453,Ben Braunecker,CHI,TE,22,13,2,0,0,0,0,0,0,0,,0,6,4,41,10.25,0,4.0,85
454,Quan Bray,IND,WR,23,6,0,0,0,0,0,0,1,7,7.0,0,4,3,36,12.0,0,4.0,179
455,Mike James,TAM,RB,25,4,0,0,0,0,0,0,4,19,4.75,0,4,4,22,5.5,0,4.0,133
456,Taiwan Jones,OAK,RB,28,13,0,0,0,0,0,0,1,-8,-8.0,0,4,4,43,10.75,0,4.0,134
457,Daniel Lasco,NOR,RB,24,7,0,0,0,0,0,0,11,32,2.91,0,4,2,11,5.5,0,4.0,132
458,Bradley Marquez,LAR,WR,24,14,0,0,0,0,0,0,1,2,2.0,0,7,3,37,12.33,0,4.0,180
459,Dexter McCluster,SDG,WR,27,6,0,0,0,0,0,0,3,2,0.67,0,11,7,36,5.14,0,4.0,181
460,Justin Perillo,GNB,TE,25,9,1,0,0,0,0,0,0,0,,0,5,4,35,8.75,0,4.0,87
461,Brandon Williams,SEA,TE,29,16,1,0,0,0,0,0,0,0,,0,3,2,36,18.0,0,4.0,86
462,Derek Carrier,WAS,TE,26,8,0,0,0,0,0,0,0,0,,0,2,2,10,5.0,0,3.0,89
463,D.J. Foster,NWE,RB,23,3,0,0,0,0,0,0,7,24,3.43,0,2,1,2,2.0,0,3.0,139
464,Don Jackson,GNB,RB,23,3,1,0,0,0,0,0,10,32,3.2,0,1,0,0,,0,3.0,135
465,Malcolm Johnson,CLE,RB,24,7,1,0,0,0,0,0,1,2,2.0,0,7,5,44,8.8,0,3.0,138
466,Sean McGrath,SDG,TE,29,16,5,0,0,0,0,0,0,0,,0,2,2,25,12.5,0,3.0,92
467,Niles Paul,WAS,TE,27,8,1,0,0,0,0,0,0,0,,0,2,2,27,13.5,0,3.0,91
468,Isaiah Pead,MIA,RB,27,3,0,0,0,0,0,0,8,22,2.75,0,1,1,6,6.0,0,3.0,136
469,Keith Smith,DAL,RB,24,16,1,0,0,0,0,0,2,5,2.5,0,4,3,20,6.67,0,3.0,140
470,Lee Smith,OAK,TE,29,4,4,0,0,0,0,0,0,0,,0,6,6,29,4.83,0,3.0,90
471,Nick Vannett,SEA,TE,23,9,2,0,0,0,0,0,0,0,,0,4,3,32,10.67,0,3.0,88
472,Dan Vitale,CLE,RB,23,9,3,0,0,0,0,0,0,0,,0,5,4,27,6.75,0,3.0,137
473,Antonio Andrews,TEN,RB,24,16,0,0,0,0,0,0,2,15,7.5,0,0,0,0,,0,2.0,148
474,Brenton Bersin,CAR,WR,26,10,0,0,0,0,0,0,0,0,,0,6,2,17,8.5,0,2.0,188
475,Brandon Bolden,NWE,RB,26,14,0,0,0,0,0,0,1,4,4.0,0,4,2,15,7.5,0,2.0,141
476,Damiere Byrd,CAR,WR,23,1,0,0,0,0,0,0,0,0,,0,1,1,16,16.0,0,2.0,190
477,James Develin,NWE,RB,28,16,4,0,0,0,0,0,0,0,,0,6,3,18,6.0,0,2.0,143
478,Jalston Fowler,TEN,RB,26,16,7,0,0,0,0,0,1,3,3.0,0,2,1,14,14.0,0,2.0,144
479,Clay Harbor,2TM,TE,29,15,2,0,0,0,0,0,0,0,,0,3,3,19,6.33,0,2.0,94
480,Percy Harvin,BUF,WR,28,2,1,0,0,0,0,0,1,11,11.0,0,4,2,6,3.0,0,2.0,189
481,Cardale Jones,BUF,QB,24,1,0,6,11,96,0,1,1,-1,-1.0,0,0,0,0,,0,2.0,60
482,Zach Line,MIN,RB,26,15,4,0,0,0,0,0,7,15,2.14,0,3,0,0,,0,2.0,147
483,Marc Mariani,TEN,WR,29,16,0,0,0,0,0,0,1,15,15.0,0,0,0,0,,0,2.0,192
484,Matt McGloin,OAK,QB,27,3,1,8,15,50,0,0,3,-3,-1.0,0,0,0,0,,0,2.0,61
485,J.D. McKissic,SEA,RB,23,1,0,0,0,0,0,0,1,2,2.0,0,2,2,16,8.0,0,2.0,142
486,Logan Paulsen,CHI,TE,29,16,12,0,0,0,0,0,0,0,,0,10,3,15,5.0,0,2.0,97
487,Cedric Peerman,CIN,RB,30,6,0,0,0,0,0,0,6,15,2.5,0,1,0,0,,0,2.0,145
488,Jay Prosch,HOU,RB,24,15,1,0,0,0,0,0,4,9,2.25,0,1,1,6,6.0,0,2.0,146
489,DeAndre Smelter,SFO,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,23,23.0,0,2.0,183
490,Devin Smith,NYJ,WR,24,4,0,0,0,0,0,0,0,0,,0,3,1,20,20.0,0,2.0,185
491,Luke Stocker,TAM,TE,28,12,10,0,0,0,0,0,0,0,,0,8,5,23,4.6,0,2.0,93
492,Devin Street,IND,WR,25,5,0,0,0,0,0,0,0,0,,0,6,1,20,20.0,0,2.0,186
493,Mike Thomas,LAR,WR,22,15,0,0,0,0,0,0,0,0,,0,9,3,37,12.33,0,2.0,187
494,Ross Travis,KAN,TE,23,6,3,0,0,0,0,0,0,0,,0,6,3,15,5.0,0,2.0,96
495,Laquon Treadwell,MIN,WR,21,9,1,0,0,0,0,0,0,0,,0,3,1,15,15.0,0,2.0,191
496,Griff Whalen,SDG,WR,26,8,0,0,0,0,0,0,0,0,,0,4,2,22,11.0,0,2.0,184
497,Cole Wick,DET,TE,23,6,0,0,0,0,0,0,0,0,,0,3,2,18,9.0,0,2.0,95
498,Shane Wynn,JAX,WR,24,5,0,0,0,0,0,0,2,5,2.5,0,3,1,19,19.0,0,2.0,182
499,Jared Abbrederis,GNB,WR,26,5,0,0,0,0,0,0,0,0,,0,2,1,8,8.0,0,1.0,196
500,Joe Banyard,JAX,RB,28,1,0,0,0,0,0,0,2,7,3.5,0,0,0,0,,0,1.0,157
501,Jeremy Butler,SDG,WR,25,4,0,0,0,0,0,0,0,0,,0,2,2,11,5.5,0,1.0,194
502,Gerald Christian,BUF,TE,25,3,0,0,0,0,0,0,0,0,,0,2,1,14,14.0,0,1.0,98
503,Chase Daniel,PHI,QB,30,1,0,1,1,16,0,0,0,0,,0,0,0,0,,0,1.0,63
504,Alex Ellis,JAX,TE,23,6,3,0,0,0,0,0,0,0,,0,4,3,11,3.67,0,1.0,102
505,David Fales,CHI,QB,26,1,0,2,5,22,0,0,1,0,0.0,0,0,0,0,,0,1.0,62
506,George Farmer,SEA,RB,23,2,0,0,0,0,0,0,1,1,1.0,0,3,1,4,4.0,0,1.0,160
507,Rashad Greene,JAX,WR,24,8,0,0,0,0,0,0,0,0,,0,8,5,32,6.4,0,1.0,193
508,Je'Ron Hamm,SFO,TE,24,5,0,0,0,0,0,0,0,0,,0,4,2,13,6.5,0,1.0,99
509,Ryan Hewitt,CIN,RB,25,16,11,0,0,0,0,0,0,0,,0,3,2,13,6.5,0,1.0,149
510,Bronson Hill,JAX,RB,23,3,0,0,0,0,0,0,2,11,5.5,0,1,0,0,,0,1.0,153
511,Henry Krieger-Coble,DEN,TE,24,2,0,0,0,0,0,0,0,0,,0,1,1,13,13.0,0,1.0,101
512,Paul Lasike,CHI,RB,26,10,3,0,0,0,0,0,3,8,2.67,0,1,1,3,3.0,0,1.0,152
513,Terrence Magee,SEA,RB,23,2,0,0,0,0,0,0,3,12,4.0,0,0,0,0,,0,1.0,150
514,Chris Manhertz,2TM,TE,24,7,2,0,0,0,0,0,0,0,,0,1,1,10,10.0,0,1.0,103
515,Paul McRoberts,LAR,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,6,6.0,0,1.0,198
516,Raheem Mostert,2TM,RB,24,3,0,0,0,0,0,0,1,6,6.0,0,0,0,0,,0,1.0,159
517,Matthew Mulligan,DET,TE,31,8,0,0,0,0,0,0,0,0,,0,1,1,8,8.0,0,1.0,104
518,Roosevelt Nix,PIT,RB,24,10,3,0,0,0,0,0,0,0,,0,2,2,5,2.5,0,1.0,161
519,MyCole Pruitt,2TM,TE,24,4,0,0,0,0,0,0,0,0,,0,2,2,13,6.5,0,1.0,100
520,Daryl Richardson,PIT,RB,26,3,0,0,0,0,0,0,2,7,3.5,0,0,0,0,,0,1.0,156
521,Stevan Ridley,ATL,RB,27,1,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,1.0,158
522,Rashad Ross,WAS,WR,26,5,0,0,0,0,0,0,0,0,,0,1,1,8,8.0,0,1.0,197
523,Anthony Sherman,KAN,RB,28,16,3,0,0,0,0,0,0,0,,0,6,4,11,2.75,0,1.0,154
524,Lorenzo Taliaferro,BAL,RB,25,3,0,0,0,0,0,0,1,0,0.0,0,3,3,10,3.33,0,1.0,155
525,Stepfan Taylor,ARI,RB,25,15,0,0,0,0,0,0,4,12,3.0,0,0,0,0,,0,1.0,151
526,Tony Washington,JAX,WR,26,2,0,0,0,0,0,0,0,0,,0,1,1,9,9.0,0,1.0,195
527,Mario Alford,CLE,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,206
528,Joique Bell,2TM,RB,30,7,0,0,0,0,0,0,3,6,2.0,0,1,1,-2,-2.0,0,,163
529,Braedon Bowman,NYJ,,22,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,110
530,Brandon Burks,NYJ,RB,23,1,0,0,0,0,0,0,2,-4,-2.0,0,0,0,0,,0,,170
531,Isaiah Burse,SDG,,25,9,1,0,0,0,0,0,0,0,,0,4,0,0,,0,,208
532,Michael Burton,DET,,24,15,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,1
533,Orson Charles,DET,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,115
534,Kellen Clemens,SDG,QB,33,12,0,0,1,0,0,0,2,-1,-0.5,0,0,0,0,,0,,68
535,Asante Cleveland,SDG,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,114
536,Chase Coffman,IND,,30,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,120
537,Geremy Davis,SDG,,24,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,,203
538,Kellen Davis,NYJ,,31,8,7,0,0,0,0,0,0,0,,0,1,0,0,,0,,117
539,Jim Dray,2TM,,30,6,2,0,0,0,0,0,0,0,,0,0,0,0,,0,,111
540,Donteea Dye,TAM,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,204
541,Glenn Gronkowski,BUF,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,3
542,Russell Hansbrough,TAM,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,168
543,Cory Harkey,LAR,,26,12,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,118
544,Clark Harris,CIN,,32,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,107
545,Temarrick Hemingway,LAR,,23,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,113
546,Chad Henne,JAX,QB,31,1,0,0,0,0,0,0,1,-2,-2.0,0,0,0,0,,0,,69
547,Julian Howsare,NYJ,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,2
548,Joe Kerridge,GNB,RB,24,8,0,0,0,0,0,0,1,0,0.0,0,0,0,0,,0,,169
549,Jake Lampman,NOR,,23,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,207
550,Khari Lee,DET,,24,8,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,121
551,Dezmin Lewis,BUF,,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,209
552,Tony Lippett,MIA,,24,16,13,0,0,0,0,0,0,0,,0,0,0,0,,0,,210
553,Vince Mayle,DAL,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,201
554,Tre McBride,TEN,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,205
555,A.J. McCarron,CIN,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,67
556,David Morgan,MIN,TE,23,12,0,0,0,0,0,0,0,0,,0,1,1,4,4.0,0,,105
557,Marcus Murphy,NOR,RB,25,3,0,0,0,0,0,0,0,0,,0,1,1,3,3.0,0,,165
558,Troy Niklas,ARI,TE,24,3,2,0,0,0,0,0,0,0,,0,2,1,0,0.0,0,,108
559,James O'Shaughnessy,KAN,TE,24,16,3,0,0,0,0,0,0,0,,0,3,2,-1,-0.5,0,,122
560,Ryan O'Malley,OAK,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,109
561,Jordan Payton,CLE,WR,23,4,0,0,0,0,0,0,0,0,,0,3,1,3,3.0,0,,199
562,Chase Reynolds,LAR,RB,29,16,0,0,0,0,0,0,0,0,,0,1,1,4,4.0,0,,164
563,Demarcus Robinson,KAN,,22,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,200
564,Khiry Robinson,NYJ,RB,27,1,0,0,0,0,0,0,8,22,2.75,0,0,0,0,,0,,167
565,Mark Sanchez,DAL,QB,30,2,0,10,18,93,0,2,4,-2,-0.5,0,0,0,0,,0,,70
566,Matt Schaub,ATL,QB,35,4,0,1,3,16,0,0,2,-2,-1.0,0,0,0,0,,0,,64
567,Rod Smith,DAL,RB,24,7,0,0,0,0,0,0,0,0,,0,1,1,4,4.0,0,,162
568,Nate Solder,NWE,,28,15,15,0,0,0,0,0,0,0,,0,0,0,0,,0,,116
569,Randall Telfer,CLE,TE,24,14,5,0,0,0,0,0,0,0,,0,7,2,4,2.0,0,,106
570,Will Tukuafu,SEA,RB,32,7,1,0,0,0,0,0,2,2,1.0,0,1,0,0,,0,,166
571,Hakeem Valles,ARI,,24,11,1,0,0,0,0,0,0,0,,0,2,0,0,,0,,112
572,Joe Webb,CAR,QB,30,14,0,0,0,0,0,0,0,0,,0,3,1,3,3.0,0,,65
573,Eric Weems,ATL,,31,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,202
574,Kasen Williams,SEA,,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,211
575,Maxx Williams,BAL,,22,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,119
576,T.J. Yates,MIA,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,66
577,Bralon Addison,CHI,RB,23,2,0,0,0,0,0,0,1,4,4.0,0,1,1,11,11.0,0,-1.0,171
578,Sean Mannion,LAR,QB,24,1,0,3,6,19,0,1,1,-1,-1.0,0,0,0,0,,0,-1.0,71
579,Tyler Ervin,HOU,RB,23,12,0,0,0,0,0,0,1,3,3.0,0,5,3,18,6.0,0,-2.0,172
580,Jakeem Grant,MIA,WR,24,16,0,0,0,0,0,0,1,1,1.0,0,1,0,0,,0,-2.0,213
581,Brett Hundley,GNB,QB,23,4,0,2,10,17,0,1,3,-2,-0.67,0,0,0,0,,0,-2.0,72
582,Ryan Mallett,BAL,QB,28,4,0,3,6,26,0,1,5,-6,-1.2,0,0,0,0,,0,-2.0,73
583,Keshawn Martin,SFO,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,-2.0,214
584,Matt Slater*+,NWE,WR,31,13,0,0,0,0,0,0,1,5,5.0,0,1,0,0,,0,-2.0,212
